date,price
2017-03-31,5.998
2017-04-01,5.998
2017-04-02,5.998
2017-04-03,3.49
2017-04-04,3.49
2017-04-05,3.49
2017-04-06,3.49
2017-04-07,3.49
2017-04-08,3.43019259
2017-04-09,3.43019259
2017-04-10,3.393
2017-04-11,3.393
2017-04-12,3.393
2017-04-13,3.393
2017-04-14,3.393
2017-04-15,3.57383333
2017-04-16,5.65
2017-04-17,5.65
2017-04-18,5.65
2017-04-19,3.54916667
2017-04-20,3.54916667
2017-04-21,3.54916667
2017-04-22,3.638
2017-04-23,3.638
2017-04-24,3.638
2017-04-25,5.61466667
2017-04-26,5.61466667
2017-04-27,3.63666667
2017-04-28,3.63666667
2017-04-29,3.55083333
2017-04-30,3.55083333
2017-05-01,3.55083333
2017-05-02,3.55083333
2017-05-03,3.52333333
2017-05-04,3.52333333
2017-05-05,3.52333333
2017-05-06,6.0
2017-05-07,6.0
2017-05-08,6.0
2017-05-09,6.0
2017-05-10,6.0
2017-05-11,6.0
2017-05-12,3.5816
2017-05-13,3.5816
2017-05-14,3.5816
2017-05-15,3.5816
2017-05-16,3.5816
2017-05-17,3.76131579
2017-05-18,3.76131579
2017-05-19,3.76131579
2017-05-20,3.78
2017-05-21,3.78
2017-05-22,3.78
2017-05-23,3.705
2017-05-24,3.705
2017-05-25,5.73
2017-05-26,3.5416
2017-05-27,3.5416
2017-05-28,3.7225
2017-05-29,3.7225
2017-05-30,6.0
2017-05-31,3.67142857
2017-06-01,3.67142857
2017-06-02,3.64526316
2017-06-03,3.64526316
2017-06-04,3.64526316
2017-06-05,3.60333333
2017-06-06,3.60333333
2017-06-07,3.64909091
2017-06-08,3.5854
2017-06-09,3.52416667
2017-06-10,3.68625
2017-06-11,3.68625
2017-06-12,3.68625
2017-06-13,3.68625
2017-06-14,3.68625
2017-06-15,3.68625
2017-06-16,3.532
2017-06-17,4.9
2017-06-18,4.9
2017-06-19,4.9
2017-06-20,4.9
2017-06-21,4.9
2017-06-22,3.84
2017-06-23,3.418
2017-06-24,3.418
2017-06-25,4.9
2017-06-26,4.9
2017-06-27,4.9
2017-06-28,3.68333333
2017-06-29,3.68333333
2017-06-30,3.68333333
2017-07-01,3.68333333
2017-07-02,3.68333333
2017-07-03,3.68333333
2017-07-04,3.68333333
2017-07-05,3.532
2017-07-06,3.683
2017-07-07,3.68375
2017-07-08,3.68375
2017-07-09,3.68375
2017-07-10,3.68375
2017-07-11,3.68375
2017-07-12,3.68375
2017-07-13,3.68375
2017-07-14,3.687
2017-07-15,3.687
2017-07-16,3.687
2017-07-17,3.687
2017-07-18,3.687
2017-07-19,3.687
2017-07-20,3.687
2017-07-21,3.687
2017-07-22,4.008
2017-07-23,4.0075
2017-07-24,4.0075
2017-07-25,4.0075
2017-07-26,4.0075
2017-07-27,4.0075
2017-07-28,4.0075
2017-07-29,4.0075
2017-07-30,3.27363636
2017-07-31,4.20948148
2017-08-01,3.27375
2017-08-02,3.27375
2017-08-03,3.27375
2017-08-04,3.27375
2017-08-05,3.27375
2017-08-06,3.27375
2017-08-07,3.27375
2017-08-08,3.27375
2017-08-09,3.27375
2017-08-10,3.27375
2017-08-11,3.27375
2017-08-12,3.27375
2017-08-13,3.186
2017-08-14,3.186
2017-08-15,3.186
2017-08-16,3.11571429
2017-08-17,3.11571429
2017-08-18,3.11571429
2017-08-19,3.75
2017-08-20,3.75
2017-08-21,3.75
2017-08-22,3.75
2017-08-23,3.75
2017-08-24,4.13133333
2017-08-25,4.13133333
2017-08-26,4.13133333
2017-08-27,4.13133333
2017-08-28,4.13133333
2017-08-29,4.13133333
2017-08-30,4.13133333
2017-08-31,4.13133333
2017-09-01,4.13133333
2017-09-02,4.5
2017-09-03,4.5
2017-09-04,2.8816
2017-09-05,2.8816
2017-09-06,2.8816
2017-09-07,2.8816
2017-09-08,2.8816
2017-09-09,2.8816
2017-09-10,2.8816
2017-09-11,2.8816
2017-09-12,2.8816
2017-09-13,3.12
2017-09-14,2.93258929
2017-09-15,2.93258929
2017-09-16,2.93258929
2017-09-17,2.93258929
2017-09-18,2.98375
2017-09-19,2.98375
2017-09-20,2.98375
2017-09-21,2.98375
2017-09-22,2.98375
2017-09-23,2.98375
2017-09-24,2.98375
2017-09-25,2.98375
2017-09-26,2.98375
2017-09-27,2.98375
2017-09-28,5.0
2017-09-29,2.98375
2017-09-30,2.98375
2017-10-01,2.98375
2017-10-02,2.98375
2017-10-03,2.98375
2017-10-04,2.98375
2017-10-05,2.98375
2017-10-06,2.98375
2017-10-07,2.98375
2017-10-08,2.98375
2017-10-09,3.32166667
2017-10-10,3.32166667
2017-10-11,2.88142857
2017-10-12,2.88142857
2017-10-13,2.88142857
2017-10-14,2.88142857
2017-10-15,2.88142857
2017-10-16,2.88142857
2017-10-17,2.88142857
2017-10-18,3.331
2017-10-19,3.331
2017-10-20,3.331
2017-10-21,3.331
2017-10-22,3.33
2017-10-23,3.33
2017-10-24,3.33
2017-10-25,3.28863636
2017-10-26,3.28863636
2017-10-27,3.28863636
2017-10-28,3.28863636
2017-10-29,3.28863636
2017-10-30,3.28863636
2017-10-31,3.28863636
2017-11-01,3.28863636
2017-11-02,3.34
2017-11-03,3.34
2017-11-04,3.34
2017-11-05,3.34
2017-11-06,3.34
2017-11-07,3.34
2017-11-08,3.165
2017-11-09,3.165
2017-11-10,3.165
2017-11-11,3.165
2017-11-12,2.83633333
2017-11-13,2.83633333
2017-11-14,2.83633333
2017-11-15,2.83633333
2017-11-16,2.83633333
2017-11-17,2.722
2017-11-18,2.722
2017-11-19,2.722
2017-11-20,2.722
2017-11-21,2.722
2017-11-22,2.722
2017-11-23,2.722
2017-11-24,2.722
2017-11-25,2.735
2017-11-26,2.735
2017-11-27,2.73222222
2017-11-28,2.73222222
2017-11-29,2.73222222
2017-11-30,2.70592593
2017-12-01,2.70592593
2017-12-02,2.70592593
2017-12-03,2.70592593
2017-12-04,2.70592593
2017-12-05,2.70592593
2017-12-06,2.70592593
2017-12-07,2.70592593
2017-12-08,2.70592593
2017-12-09,2.70592593
2017-12-10,2.70592593
2017-12-11,2.70592593
2017-12-12,2.70592593
2017-12-13,2.70592593
2017-12-14,2.70592593
2017-12-15,2.70592593
2017-12-16,2.545
2017-12-17,2.545
2017-12-18,2.545
2017-12-19,2.545
2017-12-20,2.545
2017-12-21,2.545
2017-12-22,2.545
2017-12-23,2.545
2017-12-24,2.589
2017-12-25,2.589
2017-12-26,2.604
2017-12-27,2.491
2017-12-28,2.491
2017-12-29,2.491
2017-12-30,2.491
2017-12-31,2.491
2018-01-01,2.491
2018-01-02,2.491
2018-01-03,2.491
2018-01-04,2.62133333
2018-01-05,2.62133333
2018-01-06,2.62133333
2018-01-07,2.62133333
2018-01-08,2.62133333
2018-01-09,2.62133333
2018-01-10,2.491
2018-01-11,2.491
2018-01-12,2.491
2018-01-13,2.491
2018-01-14,2.491
2018-01-15,2.491
2018-01-16,2.491
2018-01-17,2.491
2018-01-18,2.491
2018-01-19,2.491
2018-01-20,2.818
2018-01-21,2.818
2018-01-22,2.818
2018-01-23,2.818
2018-01-24,2.818
2018-01-25,2.24076923
2018-01-26,2.24076923
2018-01-27,2.24076923
2018-01-28,2.24094444
2018-01-29,2.24094444
2018-01-30,2.24094444
2018-01-31,2.24094444
2018-02-01,2.965
2018-02-02,2.37574074
2018-02-03,2.37574074
2018-02-04,2.349
2018-02-05,2.53666667
2018-02-06,2.322
2018-02-07,2.53666667
2018-02-08,2.376
2018-02-09,2.3355
2018-02-10,2.3355
2018-02-11,2.3355
2018-02-12,2.36216667
2018-02-13,3.481
2018-02-14,2.29555556
2018-02-15,2.7
2018-02-16,2.7
2018-02-17,2.7
2018-02-18,2.7
2018-02-19,2.7
2018-02-20,2.52416667
2018-02-21,2.52416667
2018-02-22,2.24133333
2018-02-23,2.24133333
2018-02-24,2.24133333
2018-02-25,2.21416667
2018-02-26,2.376
2018-02-27,2.24076923
2018-02-28,2.43
2018-03-01,2.24133333
2018-03-02,2.376
2018-03-03,2.268
2018-03-04,7.738
2018-03-05,7.738
2018-03-06,7.738
2018-03-07,7.738
2018-03-08,7.738
2018-03-09,7.738
2018-03-10,7.738
2018-03-11,7.738
2018-03-12,7.738
2018-03-13,7.738
2018-03-14,7.738
2018-03-15,0.94783333
2018-03-16,0.625
2018-03-17,0.81648148
2018-03-18,0.81428571
2018-03-19,1.465
2018-03-20,1.0644
2018-03-21,1.43944444
2018-03-22,0.54166667
2018-03-23,0.75
2018-03-24,0.83466667
2018-03-25,1.384
2018-03-26,0.5
2018-03-27,0.942
2018-03-28,0.5
2018-03-29,0.5
2018-03-30,2.53666667
2018-03-31,0.49833333
2018-04-01,0.49833333
2018-04-02,0.5
2018-04-03,0.4975
2018-04-04,2.24076923
2018-04-05,0.5
2018-04-06,0.5
2018-04-07,1.51833333
2018-04-08,0.495
2018-04-09,0.4925
2018-04-10,1.384
2018-04-11,1.384
2018-04-12,1.37549858
2018-04-13,0.5
2018-04-14,0.5
2018-04-15,0.4975
2018-04-16,0.495
2018-04-17,0.94692308
2018-04-18,2.214
2018-04-19,0.5
2018-04-20,0.5
2018-04-21,0.93533333
2018-04-22,0.39
2018-04-23,1.384
2018-04-24,1.384
2018-04-25,0.5
2018-04-26,1.90625
2018-04-27,0.5
2018-04-28,0.5
2018-04-29,0.49333333
2018-04-30,0.49333333
2018-05-01,0.49333333
2018-05-02,1.23166667
2018-05-03,0.5
2018-05-04,2.223
2018-05-05,2.223
2018-05-06,0.49666667
2018-05-07,1.904
2018-05-08,1.904
2018-05-09,1.904
2018-05-10,0.49166667
2018-05-11,1.96333333
2018-05-12,0.495
2018-05-13,2.53666667
2018-05-14,0.49166667
2018-05-15,0.5
2018-05-16,0.5
2018-05-17,0.485
2018-05-18,0.485
2018-05-19,0.485
2018-05-20,0.42666667
2018-05-21,0.04166667
2018-05-22,0.48
2018-05-23,0.495
2018-05-24,0.44
2018-05-25,0.5
2018-05-26,1.83653704
2018-05-27,0.42
2018-05-28,0.42
2018-05-29,1.48875
2018-05-30,1.48875
2018-05-31,1.48875
2018-06-01,0.4175
2018-06-02,0.4175
2018-06-03,0.5
2018-06-04,0.5
2018-06-05,0.5
2018-06-06,2.53666667
2018-06-07,2.53666667
2018-06-08,1.533
2018-06-09,0.25
2018-06-10,0.25
2018-06-11,0.495
2018-06-12,0.495
2018-06-13,0.495
2018-06-14,0.495
2018-06-15,1.585
2018-06-16,1.585
2018-06-17,1.585
2018-06-18,0.3425
2018-06-19,0.3425
2018-06-20,0.435
2018-06-21,2.268
2018-06-22,2.268
2018-06-23,0.25
2018-06-24,0.25
2018-06-25,0.25
2018-06-26,0.25
2018-06-27,0.25
2018-06-28,0.25
2018-06-29,2.295
2018-06-30,1.99666667
2018-07-01,1.99666667
2018-07-02,1.99666667
2018-07-03,1.99666667
2018-07-04,1.99666667
2018-07-05,1.99666667
2018-07-06,0.445
2018-07-07,0.245
2018-07-08,0.39507937
2018-07-09,0.44504717
2018-07-10,0.44504717
2018-07-11,0.44504717
2018-07-12,0.45
2018-07-13,0.45
2018-07-14,1.26704444
2018-07-15,1.26704444
2018-07-16,1.26704444
2018-07-17,0.475
2018-07-18,0.475
2018-07-19,0.475
2018-07-20,0.4875
2018-07-21,1.1576
2018-07-22,1.2295
2018-07-23,1.95914286
2018-07-24,0.475
2018-07-25,0.475
2018-07-26,0.475
2018-07-27,0.5
2018-07-28,0.5
2018-07-29,0.5
2018-07-30,0.47509091
2018-07-31,0.47509091
2018-08-01,0.47509091
2018-08-02,0.35
2018-08-03,1.2295
2018-08-04,1.2295
2018-08-05,1.2295
2018-08-06,0.45
2018-08-07,0.45
2018-08-08,1.2665
2018-08-09,1.2665
2018-08-10,0.42
2018-08-11,0.42
2018-08-12,0.42
2018-08-13,0.475
2018-08-14,0.475
2018-08-15,0.42
2018-08-16,0.42
2018-08-17,0.41
2018-08-18,0.41
2018-08-19,0.41
2018-08-20,2.2075
2018-08-21,0.5
2018-08-22,0.5
2018-08-23,0.5
2018-08-24,0.5
2018-08-25,0.5
2018-08-26,0.5
2018-08-27,0.5
2018-08-28,0.5
2018-08-29,0.5
2018-08-30,0.5
2018-08-31,1.62636364
2018-09-01,1.648
2018-09-02,1.648
2018-09-03,1.648
2018-09-04,1.06041667
2018-09-05,1.06041667
2018-09-06,1.06041667
2018-09-07,1.06041667
2018-09-08,2.3475
2018-09-09,2.3475
2018-09-10,1.13
2018-09-11,1.13
2018-09-12,1.13
2018-09-13,1.13
2018-09-14,1.13
2018-09-15,1.13
2018-09-16,1.13
2018-09-17,1.13
2018-09-18,1.13
2018-09-19,1.13
2018-09-20,0.42
2018-09-21,1.69083333
2018-09-22,1.69083333
2018-09-23,1.69083333
2018-09-24,1.69083333
2018-09-25,1.69083333
2018-09-26,1.066
2018-09-27,2.336
2018-09-28,2.336
2018-09-29,2.336
2018-09-30,2.336
2018-10-01,2.336
2018-10-02,2.336
2018-10-03,2.336
2018-10-04,2.336
2018-10-05,2.336
2018-10-06,2.336
2018-10-07,0.5
2018-10-08,1.77666667
2018-10-09,1.77666667
2018-10-10,1.77666667
2018-10-11,1.77666667
2018-10-12,0.46
2018-10-13,0.46
2018-10-14,0.46
2018-10-15,0.46
2018-10-16,0.46
2018-10-17,0.46
2018-10-18,0.46
2018-10-19,0.46
2018-10-20,0.46
2018-10-21,0.46
2018-10-22,0.46
2018-10-23,0.46
2018-10-24,4.99
2018-10-25,4.99
2018-10-26,1.57583333
2018-10-27,1.57583333
2018-10-28,1.57583333
2018-10-29,1.57583333
2018-10-30,1.57583333
2018-10-31,1.57583333
2018-11-01,1.57583333
2018-11-02,1.57583333
2018-11-03,1.596
2018-11-04,1.596
2018-11-05,1.596
2018-11-06,1.596
2018-11-07,1.596
2018-11-08,5.0
2018-11-09,5.0
2018-11-10,5.0
2018-11-11,5.0
2018-11-12,5.0
2018-11-13,5.0
2018-11-14,5.0
2018-11-15,5.0
2018-11-16,5.0
2018-11-17,5.0
2018-11-18,1.51515152
2018-11-19,1.51515152
2018-11-20,1.51515152
2018-11-21,1.51515152
2018-11-22,1.596
2018-11-23,1.596
2018-11-24,1.596
2018-11-25,1.596
2018-11-26,1.596
2018-11-27,1.596
2018-11-28,1.596
2018-11-29,1.596
2018-11-30,1.596
2018-12-01,1.596
2018-12-02,1.596
2018-12-03,1.596
2018-12-04,1.596
2018-12-05,1.596
2018-12-06,1.596
2018-12-07,1.596
2018-12-08,1.596
2018-12-09,1.596
2018-12-10,1.596
2018-12-11,1.596
2018-12-12,1.596
2018-12-13,1.596
2018-12-14,1.596
2018-12-15,1.596
2018-12-16,1.596
2018-12-17,1.596
2018-12-18,1.596
2018-12-19,1.596
2018-12-20,1.596
2018-12-21,1.596
2018-12-22,1.596
2018-12-23,1.596
2018-12-24,1.596
2018-12-25,1.596
2018-12-26,1.596
2018-12-27,1.596
2018-12-28,1.596
2018-12-29,1.596
2018-12-30,1.596
2018-12-31,1.596
2019-01-01,1.596
2019-01-02,1.596
2019-01-03,1.51514286
2019-01-04,1.51514286
2019-01-05,1.51514286
2019-01-06,1.7575
2019-01-07,1.7575
2019-01-08,1.7575
2019-01-09,4.99
2019-01-10,3.293
2019-01-11,3.293
2019-01-12,3.293
2019-01-13,1.72675
2019-01-14,1.72675
2019-01-15,1.72675
2019-01-16,1.57545455
2019-01-17,1.57545455
2019-01-18,1.57545455
2019-01-19,1.57545455
2019-01-20,1.596
2019-01-21,1.596
2019-01-22,1.596
2019-01-23,1.596
2019-01-24,1.596
2019-01-25,1.596
2019-01-26,1.596
2019-01-27,1.57583333
2019-01-28,1.57583333
2019-01-29,1.57583333
2019-01-30,1.57583333
2019-01-31,1.57583333
2019-02-01,1.57583333
2019-02-02,1.57583333
2019-02-03,1.57583333
2019-02-04,1.57583333
2019-02-05,1.57583333
2019-02-06,1.57583333
2019-02-07,1.57583333
2019-02-08,1.57583333
2019-02-09,1.55533333
2019-02-10,1.73055556
2019-02-11,1.73055556
2019-02-12,1.73055556
2019-02-13,1.73055556
2019-02-14,1.73055556
2019-02-15,1.535
2019-02-16,1.535
2019-02-17,1.535
2019-02-18,1.535
2019-02-19,1.535
2019-02-20,1.535
2019-02-21,1.535
2019-02-22,1.535
2019-02-23,1.59583333
2019-02-24,1.59583333
2019-02-25,1.59583333
2019-02-26,1.59583333
2019-02-27,1.61625
2019-02-28,1.61625
2019-03-01,1.61625
2019-03-02,1.535
2019-03-03,1.535
2019-03-04,1.535
2019-03-05,1.55533333
2019-03-06,1.55533333
2019-03-07,1.55533333
2019-03-08,1.55533333
2019-03-09,1.55533333
2019-03-10,1.55533333
2019-03-11,1.55533333
2019-03-12,1.55533333
2019-03-13,1.55533333
2019-03-14,1.55533333
2019-03-15,1.55533333
2019-03-16,1.55533333
2019-03-17,1.55533333
2019-03-18,1.696
2019-03-19,1.59555556
2019-03-20,1.59555556
2019-03-21,1.59555556
2019-03-22,1.59555556
2019-03-23,1.59555556
2019-03-24,1.596
2019-03-25,1.596
2019-03-26,1.596
2019-03-27,1.596
2019-03-28,1.596
2019-03-29,1.596
2019-03-30,1.596
2019-03-31,1.57538462
2019-04-01,1.57538462
2019-04-02,1.57538462
2019-04-03,1.57538462
2019-04-04,1.57538462
2019-04-05,1.57538462
2019-04-06,1.57538462
2019-04-07,2.02
2019-04-08,2.02
2019-04-09,2.02
2019-04-10,1.5152
2019-04-11,1.5152
2019-04-12,1.5152
2019-04-13,1.5152
2019-04-14,1.535
2019-04-15,1.535
2019-04-16,1.535
2019-04-17,1.65666667
2019-04-18,1.65666667
2019-04-19,1.55533333
2019-04-20,1.55533333
2019-04-21,1.55533333
2019-04-22,1.55533333
2019-04-23,1.55533333
2019-04-24,1.55533333
2019-04-25,1.55533333
2019-04-26,1.58572727
2019-04-27,1.646
2019-04-28,1.596
2019-04-29,1.596
2019-04-30,1.596
2019-05-01,1.57538462
2019-05-02,1.61625
2019-05-03,1.61625
2019-05-04,1.57538462
2019-05-05,1.57538462
2019-05-06,1.57538462
2019-05-07,1.69083333
2019-05-08,1.69083333
2019-05-09,1.69083333
2019-05-10,1.69083333
2019-05-11,1.69083333
2019-05-12,1.69083333
2019-05-13,1.648
2019-05-14,1.648
2019-05-15,1.648
2019-05-16,1.7552
2019-05-17,1.7552
2019-05-18,1.7552
2019-05-19,1.7552
2019-05-20,1.7552
2019-05-21,1.91166667
2019-05-22,1.91166667
2019-05-23,1.9115
2019-05-24,1.9115
2019-05-25,1.9115
2019-05-26,1.9115
2019-05-27,1.9115
2019-05-28,1.9115
2019-05-29,1.9115
2019-05-30,1.9115
2019-05-31,1.9115
2019-06-01,2.29555556
2019-06-02,2.29555556
2019-06-03,2.29555556
2019-06-04,2.187
2019-06-05,2.268
2019-06-06,2.268
2019-06-07,2.268
2019-06-08,2.214
2019-06-09,2.491
2019-06-10,2.491
2019-06-11,2.461
2019-06-12,2.461
2019-06-13,2.686
2019-06-14,2.686
2019-06-15,2.686
2019-06-16,2.686
2019-06-17,2.686
2019-06-18,2.686
2019-06-19,2.686
2019-06-20,2.686
2019-06-21,2.686
2019-06-22,2.686
2019-06-23,2.268
2019-06-24,2.268
2019-06-25,2.268
2019-06-26,2.268
2019-06-27,2.268
2019-06-28,2.268
2019-06-29,2.268
2019-06-30,2.268
2019-07-01,2.268
2019-07-02,2.268
2019-07-03,2.268
2019-07-04,2.268
2019-07-05,2.268
2019-07-06,2.268
2019-07-07,2.268
2019-07-08,2.268
2019-07-09,2.268
2019-07-10,2.268
2019-07-11,2.268
2019-07-12,2.268
2019-07-13,2.0
2019-07-14,2.0
2019-07-15,2.34833333
2019-07-16,2.34833333
2019-07-17,2.34833333
2019-07-18,2.34833333
